#Input	data/reads/mmus_CEBPA_s_reads.bed
#Reference	data/reads/mmus_Input_s_reads.bed
#Sequence length	32
#Fragment length	32
#Background	0.000000
#Position Background	1.315142
#Long Background	6.575710
#Threshold	5.000000
#Minimum count above bg	527
#Penalty increase	70
#Quality cutoff	0.000000
#Result cutoff	0.000000
#Penalty factor	2.740832
#Region	Start pos.	End pos.	Count	Length	Unique pos.	Score	Ref. count	Max. Coverage	Summit
chr1	8862954	8863208	610	255	200	307.185706	3	184.000000	8863090
chr1	9611720	9611982	633	263	213	329.202207	0	194.000000	9611844
chr1	21310404	21310630	591	227	181	338.492744	0	157.000000	21310458
chr1	21316827	21317084	565	258	203	263.611395	2	137.000000	21316927.5
chr1	23003562	23003832	713	271	217	394.625098	1	226.259168	23003681.5
chr1	40285977	40286210	532	234	181	262.285350	1	128.000000	40286093.5
chr1	50739788	50740092	728	305	247	366.225413	1	194.000000	50739920
chr1	51797760	51798007	544	248	193	258.614195	0	130.000000	51797852
chr1	54580593	54580915	1020	323	275	633.237716	1	281.000000	54580765
chr1	54609525	54609794	567	270	204	252.681072	0	143.000000	54609663
chr1	58158430	58158741	678	312	243	302.963446	2	156.518336	58158558
chr1	58458358	58458587	551	230	182	295.862460	0	127.000000	58458493.5
chr1	60619971	60620208	569	238	189	296.765614	0	200.000000	60620115
chr1	60655856	60656136	595	281	216	266.214510	0	149.000000	60656011
chr1	62771735	62772170	682	436	308	155.722120	2	102.000000	62772042
chr1	64799687	64799944	644	258	207	337.240280	3	171.000000	64799814
chr1	65137032	65137308	828	277	233	501.734246	1	291.000000	65137156
chr1	66947626	66947928	974	303	260	616.281387	0	264.000000	66947774
chr1	67150581	67150848	782	268	229	470.311355	0	159.000000	67150757
chr1	67163112	67163429	792	318	268	414.554257	0	135.000000	67163225
chr1	67169350	67169610	609	261	206	303.776517	1	169.000000	67169486
chr1	69020311	69020613	683	303	243	325.281387	0	167.000000	69020437
chr1	71959130	71959385	668	256	213	372.093059	0	133.000000	71959232
chr1	71985224	71985472	552	249	197	259.817389	2	138.000000	71985355
chr1	72335144	72335417	758	274	231	435.679672	1	180.000000	72335293
chr1	75165557	75165832	745	276	219	431.775118	2	225.000000	75165646
chr1	82180710	82180962	543	253	187	248.297653	1	170.000000	82180849
chr1	82290768	82291066	729	299	242	376.541955	0	199.000000	82290915
chr1	84275595	84275856	797	262	224	493.202207	0	193.000000	84275771
chr1	88776183	88776468	716	286	235	381.843394	1	194.000000	88776360
chr1	90110181	90110524	1150	344	291	716.433913	8	360.259168	90110348
chr1	90121021	90121272	722	252	201	409.426973	8	234.259168	90121233.5
chr1	90175639	90176009	1374	371	327	918.983852	5	440.000000	90175826
chr1	90180831	90181058	566	228	186	277.249548	11	153.777505	90180926
chr1	91412427	91412673	564	247	193	271.706841	3	128.000000	91412550
chr1	92131258	92131537	750	280	229	417.047988	2	186.000000	92131365
chr1	100689984	100690246	626	263	208	318.146234	1	176.000000	100690121
chr1	120231721	120231972	551	252	201	260.353627	0	146.000000	120231795
chr1	121563547	121563857	1034	311	266	663.019419	1	253.000000	121563728
chr1	128942340	128942547	576	208	169	345.165299	0	157.000000	128942447.5
chr1	129629076	129629367	617	292	226	271.305757	4	140.000000	129629230
chr1	132575233	132575565	748	333	269	345.345465	2	148.000000	132575372
chr1	135582389	135582730	677	342	265	275.771154	1	135.000000	135582622
chr1	138595148	138595414	573	267	212	265.777917	0	132.000000	138595285
chr1	140407204	140407487	599	284	216	263.528252	1	171.259168	140407339
chr1	140808913	140809198	634	286	233	295.897968	1	139.000000	140809084.5
chr1	141755248	141755510	540	263	207	234.887065	0	129.000000	141755384
chr1	145794067	145794332	670	266	222	360.941639	0	148.000000	145794198.5
chr1	154291817	154292099	545	283	210	206.676873	3	111.000000	154291926
chr1	158587701	158587992	642	292	226	287.784621	4	148.000000	158587804
chr1	162304690	162304981	670	292	230	324.007117	1	136.000000	162304871
chr1	163198275	163198549	756	275	229	432.364530	1	188.000000	163198373
chr1	164794418	164794672	565	255	193	270.187105	2	151.000000	164794538
chr1	166083059	166083325	704	267	219	385.404002	3	184.259168	166083193
chr1	166345398	166345772	707	375	291	254.591166	0	135.000000	166345544
chr1	167414840	167415129	803	290	241	460.841995	2	154.000000	167415006
chr1	170296407	170296655	574	249	193	281.817389	2	133.259168	170296534
chr1	173383133	173383366	531	234	188	261.285350	1	115.000000	173383329
chr1	178756392	178756666	688	275	224	364.364530	1	151.000000	178756501
chr1	181491200	181491517	764	318	256	386.554257	0	175.000000	181491340
chr1	188609305	188609538	573	234	180	308.656466	0	179.000000	188609460
chr1	189308714	189308993	709	280	227	376.047988	2	159.000000	189308828
chr10	8593526	8593826	559	301	228	201.170839	1	98.000000	8593715
chr10	10168933	10169220	1004	288	251	666.008516	0	307.000000	10169076
chr10	10299738	10299977	549	240	192	268.653667	2	168.000000	10299857
chr10	17127678	17127949	649	272	219	328.365930	2	187.000000	17127809
chr10	21014103	21014334	530	232	183	262.915634	1	138.000000	21014201
chr10	23571082	23571332	543	251	194	250.927937	1	121.000000	23571225
chr10	39679915	39680181	643	267	210	322.978312	4	161.000000	39680039
chr10	39797473	39797762	663	290	219	339.420504	0	175.000000	39797601
chr10	40232034	40232311	723	278	226	396.734246	1	172.000000	40232168
chr10	50483827	50484095	754	269	223	438.255382	1	219.000000	50483953
chr10	53102530	53102811	661	282	226	330.899368	0	172.000000	53102696
chr10	53127298	53127597	991	300	257	642.487381	0	293.000000	53127466
chr10	66488397	66488647	545	251	186	276.711040	0	147.000000	66488497
chr10	67520614	67520987	937	374	304	480.424644	2	173.000000	67520744
chr10	67587771	67588054	727	284	233	388.787421	2	224.000000	67587920
chr10	67907180	67907461	694	282	227	357.567725	4	204.000000	67907314
chr10	68751593	68751846	644	254	201	341.705442	4	151.000000	68751689
chr10	68762779	68763062	793	284	237	454.787421	2	231.000000	68762899.5
chr10	74508632	74508901	581	270	205	261.199408	2	150.000000	74508768
chr10	82221673	82221973	772	301	244	419.541955	0	182.000000	82221844
chr10	84652717	84653052	818	336	258	432.331762	3	202.000000	84652928
chr10	86349259	86349509	562	251	198	272.668769	0	152.000000	86349392.5
chr10	89099756	89100024	663	269	211	347.255382	1	175.000000	89099906
chr10	90120589	90120834	656	246	193	367.762815	2	193.000000	90120721
chr10	91608997	91609255	550	259	202	244.665970	2	128.000000	91609065
chr10	92951209	92951538	869	330	276	473.031722	1	198.000000	92951403
chr10	93560881	93561223	1138	343	297	724.934877	1	283.000000	93561054
chr10	94848390	94848645	567	256	194	271.093059	0	150.000000	94848526
chr10	96386800	96387050	668	251	206	375.927937	1	183.000000	96386923
chr10	98674210	98674493	640	284	224	304.528252	1	193.000000	98674325
chr10	99065073	99065326	558	254	199	264.723343	0	159.000000	99065200
chr10	106752384	106752611	545	228	184	277.694539	3	138.259168	106752494
chr10	111139625	111139900	654	276	221	329.049388	1	172.259168	111139783.5
chr10	114700303	114700554	643	252	204	344.131132	3	157.259168	114700504
chr10	116849748	116850030	790	283	238	450.361731	3	194.000000	116849914
chr10	121763972	121764250	625	279	215	296.103962	1	192.000000	121764105
chr10	121823760	121824048	588	289	219	249.897968	1	126.000000	121823907
chr10	127374112	127374383	612	272	219	292.309956	1	146.000000	127374251
chr10	127382730	127382987	542	258	203	240.721943	1	173.000000	127382843
chr11	5402441	5402718	783	278	220	458.159936	0	234.000000	5402585
chr11	5819624	5819890	527	267	202	216.626497	0	123.000000	5819766
chr11	7092728	7093034	574	307	233	212.513150	3	109.000000	7092854
chr11	14095173	14095433	579	261	196	296.244479	1	176.000000	14095285
chr11	20979815	20980088	656	274	214	336.420504	0	154.000000	20979967.5
chr11	21302954	21303255	810	302	248	453.596529	0	185.000000	21303123.5
chr11	22273300	22273550	655	251	206	362.927937	1	150.000000	22273446
chr11	27760121	27760380	619	260	206	317.832491	0	190.000000	27760223.5
chr11	27798705	27798992	685	288	236	347.008516	0	182.000000	27798837
chr11	29708453	29708722	591	270	203	284.461375	1	167.000000	29708586
